t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
17.090,0.010000,0.004400,-3729.3800,-1250.7800,-159.2540,49124.908,0.6350,1,5675
17.291,0.005000,0.004400,-3729.3750,-1250.6600,-159.2540,49134.365,0.6350,1,5675
17.491,0.005000,0.004400,-3729.3750,-1250.5280,-159.2566,49144.110,0.6350,1,5675
17.692,0.005000,-0.000600,-3729.3750,-1250.4040,-159.2553,49153.470,0.6350,1,5675
17.893,0.005000,-0.000600,-3729.3750,-1250.2720,-159.2553,49163.214,0.6350,1,5675
18.094,0.010000,-0.000600,-3729.3800,-1250.1440,-159.2553,49172.958,0.6350,1,5675
18.296,0.005000,-0.000600,-3729.3750,-1250.0160,-159.2553,49182.845,0.6350,1,5675
18.497,0.005000,-0.000600,-3729.3750,-1249.8920,-159.2553,49192.061,0.6350,1,5675
18.698,0.005000,-0.000600,-3729.3750,-1249.7640,-159.2566,49201.758,0.6350,1,5675
18.899,0.000000,-0.000600,-3729.3700,-1249.6320,-159.2553,49211.646,0.6350,1,5675
19.099,0.000000,-0.000600,-3729.3700,-1249.5080,-159.2553,49221.437,0.6350,1,5675
19.300,0.000000,-0.000600,-3729.3700,-1249.3840,-159.2553,49230.798,0.6350,1,5675
19.501,0.000000,-0.000600,-3729.3700,-1249.2560,-159.2566,49240.541,0.6350,1,5675
19.702,0.000000,-0.000600,-3729.3700,-1249.1280,-159.2553,49250.285,0.6350,1,5675
19.903,0.000000,-0.000600,-3729.3700,-1249.0040,-159.2566,49259.550,0.6350,1,5675
20.103,0.000000,-0.000600,-3729.3700,-1248.8720,-159.2566,49269.485,0.6350,1,5675
20.304,-0.005000,-0.005600,-3729.3650,-1248.7440,-159.2553,49279.230,0.6350,1,5675
20.504,-0.005000,-0.000600,-3729.3650,-1248.6200,-159.2553,49288.543,0.6350,1,5675
20.705,-0.005000,-0.000600,-3729.3650,-1248.4920,-159.2553,49298.334,0.6350,1,5675
20.905,-0.005000,0.004400,-3729.3650,-1248.3640,-159.2540,49308.030,0.6350,1,5675
21.106,-0.005000,0.004400,-3729.3650,-1248.2360,-159.2553,49317.725,0.6350,1,5675
21.306,-0.005000,0.004400,-3729.3650,-1248.1120,-159.2553,49327.036,0.6350,1,5675
21.507,-0.005000,0.004400,-3729.3650,-1247.9800,-159.2553,49336.781,0.6350,1,5675
21.707,0.000000,-0.000600,-3729.3700,-1247.8480,-159.2553,49346.573,0.6350,1,5675
21.908,0.000000,-0.000600,-3729.3700,-1247.7240,-159.2553,49356.270,0.6350,1,5675
22.108,0.000000,-0.000600,-3729.3700,-1247.5960,-159.2540,49365.581,0.6350,1,5675
22.309,-0.005000,-0.005600,-3729.3650,-1247.4600,-159.2502,49375.325,0.6350,1,5675
22.509,-0.005000,-0.005600,-3729.3650,-1247.3400,-159.2477,49384.685,0.6350,1,5675
22.710,0.000000,-0.000600,-3729.3700,-1247.2200,-159.2502,49394.382,0.6350,1,5675
22.910,0.000000,0.004400,-3729.3700,-1247.0920,-159.2502,49404.126,0.6350,1,5675
23.111,0.000000,0.004400,-3729.3700,-1246.9600,-159.2502,49413.870,0.6350,1,5675
23.311,0.000000,0.004400,-3729.3700,-1246.8360,-159.2515,49423.181,0.6350,1,5675
23.513,0.005000,0.004400,-3729.3750,-1246.7000,-159.2515,49433.021,0.6350,1,5675
23.714,0.000000,0.004400,-3729.3700,-1246.5720,-159.2515,49442.765,0.6350,1,5675
23.914,0.005000,0.004400,-3729.3750,-1246.4440,-159.2515,49452.510,0.6350,1,5675
24.114,0.005000,-0.000600,-3729.3750,-1246.3280,-159.2515,49461.294,0.6350,1,5675
24.315,0.005000,-0.000600,-3729.3750,-1246.1920,-159.2515,49471.517,0.6350,1,5675
24.516,0.005000,-0.000600,-3729.3750,-1246.0640,-159.2502,49481.405,0.6350,1,5675
24.717,0.005000,0.004400,-3729.3750,-1245.9440,-159.2502,49490.621,0.6350,1,5675
24.917,0.005000,0.004400,-3729.3750,-1245.8080,-159.2502,49500.509,0.6350,1,5675
25.118,0.000000,0.004400,-3729.3700,-1245.6760,-159.2489,49510.254,0.6350,1,5675
25.318,0.005000,0.004400,-3729.3750,-1245.5560,-159.2502,49519.517,0.6350,1,5675
25.519,0.005000,0.004400,-3729.3750,-1245.4280,-159.2515,49529.213,0.6350,1,5675
25.720,0.005000,0.004400,-3729.3750,-1245.3000,-159.2515,49538.959,0.6350,1,5675
25.920,0.005000,-0.000600,-3729.3750,-1245.1720,-159.2515,49548.654,0.6350,1,5675
26.121,0.005000,0.004400,-3729.3750,-1245.0480,-159.2528,49557.966,0.6350,1,5675
26.321,0.005000,0.004400,-3729.3750,-1244.9200,-159.2528,49567.661,0.6350,1,5675
26.522,0.005000,-0.000600,-3729.3750,-1244.7880,-159.2528,49577.596,0.6350,1,5675
26.723,0.005000,-0.000600,-3729.3750,-1244.6640,-159.2528,49587.054,0.6350,1,5675
26.923,0.005000,-0.005600,-3729.3750,-1244.5360,-159.2515,49596.750,0.6350,1,5675
27.123,0.010000,-0.000600,-3729.3800,-1244.4120,-159.2515,49606.590,0.6350,1,5675
27.324,0.005000,0.004400,-3729.3750,-1244.2920,-159.2515,49615.902,0.6350,1,5675
27.524,0.005000,0.004400,-3729.3750,-1244.1600,-159.2528,49625.645,0.6350,1,5675
27.724,0.005000,0.004400,-3729.3750,-1244.0320,-159.2528,49635.053,0.6350,1,5675
27.925,0.005000,-0.000600,-3729.3750,-1243.9000,-159.2528,49644.847,0.6350,1,5675
28.126,0.005000,-0.000600,-3729.3750,-1243.7720,-159.2528,49654.589,0.6350,1,5675
28.326,0.005000,-0.000600,-3729.3750,-1243.6440,-159.2528,49664.334,0.6350,1,5675
28.526,0.005000,-0.000600,-3729.3750,-1243.5200,-159.2528,49673.645,0.6350,1,5675
28.728,0.005000,0.004400,-3729.3750,-1243.3920,-159.2528,49683.587,0.6350,1,5675
28.930,0.005000,0.004400,-3729.3750,-1243.2680,-159.2540,49693.325,0.6350,1,5675
29.131,0.000000,0.004400,-3729.3700,-1243.1400,-159.2540,49702.590,0.6350,1,5675
29.331,-0.005000,0.004400,-3729.3650,-1243.0120,-159.2540,49712.333,0.6350,1,5675
29.532,-0.005000,0.004400,-3729.3650,-1242.8880,-159.2540,49722.030,0.6350,1,5675
29.732,-0.005000,-0.000600,-3729.3650,-1242.7520,-159.2528,49731.773,0.6350,1,5675
29.933,-0.005000,-0.000600,-3729.3650,-1242.6280,-159.2515,49741.086,0.6350,1,5675
30.133,0.000000,-0.000600,-3729.3700,-1242.5080,-159.2540,49750.733,0.6350,1,5675
30.334,0.000000,-0.000600,-3729.3700,-1242.3760,-159.2540,49760.669,0.6350,1,5675
30.535,0.005000,-0.000600,-3729.3750,-1242.2440,-159.2540,49770.269,0.6350,1,5675
30.736,0.005000,0.004400,-3729.3750,-1242.1160,-159.2540,49779.775,0.6350,1,5675
