t,fe0,fe3,ex,ew,ux,uw,x,y,z,b,vel,spindle_on,spindle_rpm
8.730,0.005000,0.004400,+0.0050000,+0.0044000,+1.065268,+0.884251,-3729.3750,-1026.1080,-159.2553,66107.931,0.6350,1,5675
8.831,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884251,-3729.3750,-1026.0400,-159.2528,66112.830,0.6350,1,5675
8.932,0.000000,-0.000600,+0.0000000,-0.0006000,+1.065397,+0.884251,-3729.3700,-1025.9760,-159.2502,66117.677,0.6350,1,5675
9.033,0.000000,0.004400,+0.0000000,-0.0006000,+1.065397,+0.884251,-3729.3700,-1025.9200,-159.2489,66122.094,0.6350,1,5675
9.134,0.000000,0.004400,+0.0000000,+0.0044000,+1.065397,+0.884251,-3729.3700,-1025.8520,-159.2489,66127.182,0.6350,1,5675
9.235,0.005000,0.004400,+0.0000000,+0.0044000,+1.065397,+0.884251,-3729.3750,-1025.7920,-159.2489,66132.124,0.6350,1,5675
9.336,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884251,-3729.3750,-1025.7280,-159.2489,66136.974,0.6350,1,5675
9.438,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884251,-3729.3750,-1025.6760,-159.2489,66141.006,0.6350,1,5675
9.539,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884364,-3729.3750,-1025.6040,-159.2489,66146.430,0.6350,1,5675
9.641,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884562,-3729.3750,-1025.5360,-159.2502,66151.517,0.6350,1,5675
9.743,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884562,-3729.3750,-1025.4720,-159.2502,66156.463,0.6350,1,5675
9.844,0.005000,0.004400,+0.0050000,+0.0044000,+1.065397,+0.884562,-3729.3750,-1025.4080,-159.2502,66161.356,0.6350,1,5675
9.947,0.010000,0.004400,+0.0050000,+0.0044000,+1.065558,+0.884562,-3729.3800,-1025.3440,-159.2515,66166.206,0.6350,1,5675
10.048,0.005000,0.004400,+0.0050000,+0.0044000,+1.066168,+0.884647,-3729.3750,-1025.2800,-159.2515,66171.246,0.6350,1,5675
10.150,0.010000,0.009400,+0.0050000,+0.0044000,+1.066715,+0.884704,-3729.3800,-1025.2200,-159.2528,66175.806,0.6350,1,5675
10.251,0.005000,0.004400,+0.0050000,+0.0044000,+1.067325,+0.885156,-3729.3750,-1025.1520,-159.2540,66180.797,0.6350,1,5675
10.352,0.005000,0.004400,+0.0050000,+0.0044000,+1.067390,+0.885411,-3729.3750,-1025.0880,-159.2540,66185.694,0.6350,1,5675
10.455,0.005000,0.004400,+0.0050000,+0.0044000,+1.067390,+0.885722,-3729.3750,-1025.0200,-159.2553,66190.591,0.6350,1,5675
10.558,0.005000,0.004400,+0.0050000,+0.0094000,+1.067390,+0.955981,-3729.3750,-1024.9560,-159.2566,66195.584,0.6350,1,5675
10.659,0.005000,0.004400,+0.0050000,+0.0044000,+1.067390,+0.886287,-3729.3750,-1024.8880,-159.2566,66200.428,0.6350,1,5675
10.760,0.005000,0.004400,+0.0050000,+0.0044000,+1.067390,+0.886683,-3729.3750,-1024.8200,-159.2578,66205.371,0.6350,1,5675
10.860,0.005000,0.004400,+0.0050000,+0.0044000,+1.067390,+0.887051,-3729.3750,-1024.7600,-159.2578,66209.837,0.6350,1,5675
10.961,0.000000,0.004400,+0.0000000,+0.0094000,+1.067390,+0.957480,-3729.3700,-1024.6920,-159.2578,66214.783,0.6350,1,5675
11.063,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.888606,-3729.3700,-1024.6280,-159.2578,66219.678,0.6350,1,5675
11.164,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.889087,-3729.3700,-1024.5680,-159.2578,66224.334,0.6350,1,5675
11.267,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.889483,-3729.3700,-1024.4960,-159.2578,66229.758,0.6350,1,5675
11.368,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.889681,-3729.3700,-1024.4440,-159.2578,66233.645,0.6350,1,5675
11.469,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.889851,-3729.3700,-1024.3720,-159.2578,66239.022,0.6350,1,5675
11.570,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.890614,-3729.3700,-1024.3120,-159.2578,66243.869,0.6350,1,5675
11.671,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.891180,-3729.3700,-1024.2480,-159.2578,66248.815,0.6350,1,5675
11.771,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.891802,-3729.3700,-1024.1800,-159.2578,66253.710,0.6350,1,5675
11.873,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.962429,-3729.3700,-1024.1160,-159.2578,66258.557,0.6350,1,5675
11.974,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.893329,-3729.3700,-1024.0480,-159.2578,66263.598,0.6350,1,5675
12.075,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.893329,-3729.3700,-1023.9840,-159.2578,66268.492,0.6350,1,5675
12.180,0.000000,0.004400,+0.0000000,+0.0044000,+1.067390,+0.893329,-3729.3700,-1023.9200,-159.2578,66273.531,0.6350,1,5675
12.286,-0.005000,0.004400,-0.0050000,-0.0006000,+1.067390,+0.893329,-3729.3650,-1023.8520,-159.2566,66278.427,0.6350,1,5675
12.387,-0.010000,-0.005600,-0.0100000,-0.0056000,+0.987035,+0.883733,-3729.3600,-1023.7880,-159.2540,66283.179,0.6350,1,5675
12.488,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.066233,+0.893121,-3729.3650,-1023.7240,-159.2528,66288.128,0.6350,1,5675
12.590,0.000000,-0.000600,-0.0050000,-0.0006000,+1.066233,+0.893121,-3729.3700,-1023.6640,-159.2528,66293.023,0.6350,1,5675
12.691,0.000000,-0.000600,+0.0000000,-0.0006000,+1.066233,+0.893121,-3729.3700,-1023.6000,-159.2528,66297.965,0.6350,1,5675
12.792,0.005000,-0.000600,+0.0050000,-0.0006000,+1.066233,+0.893121,-3729.3750,-1023.5360,-159.2540,66302.910,0.6350,1,5675
12.896,0.005000,-0.000600,+0.0050000,-0.0006000,+1.066233,+0.893121,-3729.3750,-1023.4720,-159.2540,66307.758,0.6350,1,5675
12.997,0.010000,-0.000600,+0.0050000,-0.0006000,+1.066940,+0.893121,-3729.3800,-1023.4080,-159.2540,66312.654,0.6350,1,5675
13.098,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1023.3480,-159.2540,66317.212,0.6350,1,5675
13.200,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1023.2800,-159.2540,66322.159,0.6350,1,5675
13.301,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1023.2120,-159.2540,66327.341,0.6350,1,5675
13.402,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1023.1440,-159.2540,66332.236,0.6350,1,5675
13.504,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1023.0800,-159.2540,66337.134,0.6350,1,5675
13.608,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1023.0160,-159.2528,66342.030,0.6350,1,5675
13.709,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.9600,-159.2540,66346.540,0.6350,1,5675
13.810,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.8920,-159.2528,66351.676,0.6350,1,5675
13.910,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.8240,-159.2528,66356.620,0.6350,1,5675
14.011,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.7680,-159.2528,66361.083,0.6350,1,5675
14.112,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.7000,-159.2528,66365.980,0.6350,1,5675
14.215,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.6360,-159.2540,66370.974,0.6350,1,5675
14.317,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.5680,-159.2540,66375.966,0.6350,1,5675
14.423,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.5000,-159.2528,66381.005,0.6350,1,5675
14.527,0.000000,-0.000600,+0.0050000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1022.4360,-159.2528,66385.951,0.6350,1,5675
14.630,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1022.3720,-159.2528,66390.750,0.6350,1,5675
