# t ex ey ez ew A C jx jy jz
1786079817.593 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079817.751 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079817.910 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079818.068 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079818.227 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079818.388 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079818.551 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079818.711 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079818.873 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079819.038 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079819.203 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079819.367 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079819.536 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079819.699 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079819.859 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079820.021 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079820.182 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079820.346 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079820.516 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079820.682 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079820.845 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079821.004 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079821.164 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079821.326 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079821.484 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079821.648 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
