# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb
1786041467.401 -0.009447815 -0.0152194 -0.01121096 -0.006847815 -0.01121096 -441.7554 19.3274 
1786041467.574 -0.009427 0.06542858 0.01344074 -0.006827 0.01344074 -443.226 20.0868 
1786041467.756 0.015573 0.02142858 0.01051375 0.013173 0.01051375 -443.8255 20.0868 
1786041467.920 0.015573 0.02142858 0.009946784 0.018173 0.009946784 -444.3741 20.0868 
1786041468.154 0.015573 0.01742858 0.01003308 0.018173 0.01003308 -445.065 20.0868 
1786041468.335 0.010573 0.01742858 0.009166039 0.013173 0.009166039 -445.7508 20.0868 
1786041468.521 0.015573 0.01742858 0.01924239 0.013173 0.01924239 -446.3388 20.0868 
1786041468.697 0.010573 0.01742858 0.002945882 0.013173 0.002945882 -446.0668 20.0868 
1786041468.883 0.010573 0.01342858 0.009759189 0.013173 0.009759189 -446.0912 20.0868 
1786041469.052 0.010573 0.01342858 0.008262507 0.013173 0.008262507 -446.1178 20.0868 
1786041469.211 0.010573 0.01342858 0.008869159 0.013173 0.008869159 -446.1458 20.0868 
1786041469.369 0.015573 0.01742858 0.009205811 0.013173 0.009205811 -446.1724 20.0868 
1786041469.527 0.010573 0.01342858 0.008272464 0.013173 0.008272464 -446.1978 20.0868 
1786041469.688 0.015573 0.01342858 0.008609117 0.013173 0.008609117 -446.2245 20.0868 
1786041469.854 0.010573 0.01342858 0.01684915 0.008173 0.01684915 -446.1951 20.0868 
1786041470.019 0.010573 0.01342858 0.01509334 0.008173 0.01509334 -444.5847 20.0868 
1786041470.180 -0.009447972 0.03805565 -0.01569964 -0.007048178 -0.01569964 -441.7285 19.31438 
1786041470.340 -0.01448107 -0.004946803 -0.01156561 -0.01708107 -0.01156561 -439.6025 18.12182 
1786041470.502 -0.0145148 -0.01330399 -0.0101235 -0.0121148 -0.0101235 -437.5705 16.90677 
1786041470.669 -0.01454918 -0.01167875 -0.01018924 -0.01214918 -0.01018924 -435.6516 15.67666 
1786041470.837 -0.01458525 -0.01160481 -0.01034298 -0.01218525 -0.01034298 -433.791 14.38694 
1786041471.000 -0.01461982 -0.0167848 -0.009854991 -0.01221982 -0.009243137 -432.173 13.16432 
1786041471.167 -0.01465563 -0.008865911 -0.009704511 -0.01225563 -0.008718014 -430.6529 11.90445 
1786041471.327 -0.009689682 -0.01303883 -0.01008656 -0.0122899 -0.01008656 -429.3511 10.71177 
1786041471.498 -0.00972645 -0.0118239 -0.009292632 -0.01232645 -0.009292632 -428.1116 9.436834 
1786041471.664 -0.01476184 -0.01116655 -0.008400807 -0.01236206 -0.008400807 -427.0575 8.199242 
1786041471.827 -0.009797561 -0.01071302 -0.008555627 -0.01239756 -0.008555627 -426.1545 6.969437 
1786041471.993 -0.01483316 -0.008442115 -0.008058725 -0.01243337 -0.008058725 -425.3938 5.731706 
1786041472.160 -0.009869918 -0.01157736 -0.008515766 -0.007469918 -0.008515766 -424.7702 4.471854 
1786041472.325 -0.00990587 -0.005131236 -0.008340603 -0.00750587 -0.008340603 -424.3054 3.226867 
1786041472.486 -0.009941212 -0.01535199 -0.008550979 -0.01254121 -0.008550979 -423.9981 2.019321 
1786041472.645 -0.009976144 -0.00793548 -0.007086365 -0.007576144 -0.007086365 -423.8342 0.8193558 
1786041472.805 -0.01 -0.1077 -0.006258978 -0.0076 -0.006258978 -423.8025 -1.137215e-08 
1786041472.965 0.015 0.0003 0.008981014 0.0174 0.008981014 -423.8177 -1.137215e-08 
1786041473.123 0.015 0.0163 0.01152101 0.0174 0.01152101 -423.8203 -1.137215e-08 
1786041473.280 0.015 0.0123 0.01025101 0.0174 0.01025101 -423.819 -1.137215e-08 
1786041473.444 -2.969982e-05 0.01654837 -0.0006709643 -0.0076297 -0.0006709643 -423.8586 -1.019896 
1786041473.609 -0.0100655 -0.001942331 -0.009150121 -0.007665501 -0.009150121 -424.0452 -2.24995 
1786041473.771 -0.01010084 -0.01346467 -0.009444991 -0.007700836 -0.009444991 -424.3818 -3.465018 
1786041473.930 -0.01013591 -0.01121787 -0.009659593 -0.01273591 -0.009659593 -424.858 -4.672614 
1786041474.094 -0.01017092 -0.007009017 -0.009148271 -0.007771137 -0.009148271 -425.4803 -5.887479 
1786041474.257 -0.01020672 -0.01071904 -0.009088517 -0.01280672 -0.009088517 -426.255 -7.117523 
1786041474.424 -0.01024264 -0.01008892 -0.009380246 -0.007842644 -0.009380246 -427.1872 -8.362372 
