sec,B,line
21.737,117.8923,78
21.787,118.1663,78
21.837,118.4457,78
21.887,118.7252,78
21.938,118.9993,78
21.989,119.2779,78
22.039,119.5566,78
22.089,119.8352,78
22.140,120.1085,78
22.190,120.3871,78
22.240,120.6111,78
22.291,120.8899,78
22.341,121.1692,78
22.391,121.4484,78
22.442,121.7225,78
22.492,122.0073,78
22.543,122.2870,78
22.593,122.5608,78
22.643,122.8403,78
22.694,123.1198,78
22.744,123.3926,78
22.795,123.6713,78
22.845,123.9501,78
22.895,124.2507,78
22.946,124.4745,78
22.996,124.7696,78
23.047,125.0539,78
23.097,125.3335,78
23.147,125.6129,78
23.197,125.8923,78
23.248,126.1720,78
23.298,126.4458,78
23.348,126.7252,78
23.398,126.9992,78
23.448,127.2779,78
23.499,127.4964,78
23.549,127.7752,78
23.599,128.0592,78
23.650,128.3326,78
23.700,128.6111,78
23.750,128.8845,78
23.801,129.1636,78
23.851,129.4485,78
23.901,129.7224,78
23.951,130.0020,78
24.001,130.2813,78
24.052,130.5608,78
24.102,130.8403,78
24.152,131.1194,78
24.202,131.3982,78
24.253,131.6277,78
24.303,131.9118,78
24.353,132.1849,78
24.403,132.4638,78
24.453,132.7370,78
24.503,133.0156,78
24.553,133.2952,78
24.604,133.5746,78
24.654,133.8539,78
24.704,134.1334,78
24.755,134.4129,78
24.806,134.6923,78
24.861,134.9716,78
24.911,135.2451,78
24.961,135.5237,78
25.012,135.8023,78
25.062,136.0757,78
25.113,136.3599,78
25.163,136.6443,78
25.213,136.9227,78
25.264,137.2020,78
25.314,137.4759,78
25.364,137.7553,78
25.414,138.0293,78
25.464,138.3087,78
25.514,138.5279,78
25.565,138.8075,78
25.615,139.0811,78
25.665,139.3598,78
25.715,139.6495,78
25.765,139.9227,78
25.816,140.2015,78
25.866,140.4967,78
25.917,140.7751,78
25.967,141.0540,78
26.018,141.2844,78
26.069,141.5638,78
26.119,141.8540,78
26.169,142.1279,78
26.219,142.4127,78
26.270,142.6979,78
26.320,142.9773,78
26.370,143.2507,78
26.420,143.5294,78
26.470,143.8024,78
26.521,144.0755,78
26.571,144.3599,78
26.621,144.6385,78
26.672,144.8626,78
26.722,145.1361,78
26.772,145.4156,78
26.822,145.6896,78
26.874,145.9690,78
26.924,146.2431,78
26.974,146.5225,78
27.024,146.8019,78
27.075,147.0757,78
27.126,147.3544,78
27.176,147.6281,78
27.226,147.9117,78
27.277,148.1903,78
27.327,148.4693,78
27.377,148.7423,78
27.428,149.0266,78
27.478,149.3005,78
27.528,149.5746,78
27.578,149.8539,78
27.629,150.1280,78
27.679,150.4074,78
27.729,150.6814,78
27.780,150.9608,78
27.830,151.2396,78
27.881,151.5127,78
27.931,151.7916,78
27.981,152.0647,78
28.031,152.3434,78
28.082,152.6167,78
28.132,152.8953,78
28.182,153.1690,78
28.232,153.4485,78
28.282,153.7225,78
28.333,154.0019,78
28.383,154.2266,78
28.433,154.5005,78
28.483,154.7799,78
28.533,155.0592,78
28.584,155.3379,78
28.634,155.6167,78
28.684,155.8898,78
28.734,156.1631,78
28.785,156.4473,78
28.835,156.7205,78
28.886,156.9992,78
28.936,157.2733,78
28.986,157.5525,78
29.036,157.8321,78
29.087,158.1060,78
29.137,158.3909,78
29.187,158.6649,78
29.237,158.9444,78
29.287,159.2233,78
29.338,159.5019,78
29.388,159.7751,78
29.438,159.9989,78
29.488,160.2724,78
29.538,160.5511,78
29.589,160.8244,78
29.639,161.1033,78
29.689,161.3829,78
29.739,161.6567,78
29.790,161.9361,78
29.840,162.2101,78
29.890,162.4950,78
29.940,162.7744,78
29.990,163.0592,78
30.040,163.3325,78
30.091,163.6112,78
30.141,163.8845,78
30.191,164.1631,78
30.241,164.4473,78
30.292,164.7205,78
30.342,164.9392,78
30.392,165.2183,78
30.442,165.4978,78
30.492,165.7772,78
30.542,166.0513,78
30.593,166.3306,78
30.643,166.6101,78
30.693,166.8841,78
30.744,167.1631,78
30.794,167.4418,78
30.844,167.7150,78
30.895,167.9937,78
30.945,168.2724,78
30.995,168.5675,78
31.045,168.7916,78
31.095,169.0649,78
31.146,169.3444,78
31.196,169.6239,78
31.246,169.9033,78
31.297,170.1773,78
31.347,170.4567,78
31.397,170.7362,78
31.448,171.0102,78
31.498,171.2886,78
31.548,171.5619,78
31.598,171.8353,78
31.649,172.1139,78
31.699,172.3926,78
31.749,172.6877,78
31.799,172.9663,78
31.849,173.2458,78
31.902,173.5253,78
31.952,173.8101,78
32.002,174.0295,78
32.053,174.3088,78
32.103,174.5827,78
32.154,174.8621,78
32.204,175.1412,78
32.254,175.4199,78
32.304,175.6933,78
32.355,175.9719,78
32.405,176.2450,78
32.455,176.5239,78
32.505,176.8080,78
32.556,177.0868,78
32.606,177.3611,78
32.656,177.6458,78
32.706,177.9197,78
32.756,178.1992,78
32.806,178.4731,78
32.857,178.7527,78
32.907,179.0264,78
32.957,179.2825,78
33.007,179.4958,78
33.058,179.6933,78
33.108,179.8871,78
33.158,180.0459,78
33.208,180.2435,78
33.258,180.4410,78
33.309,180.6343,78
33.359,180.8312,78
33.409,181.0282,78
33.459,181.2251,78
33.510,181.4182,78
33.561,181.6155,78
33.611,181.8093,78
33.662,182.0188,78
33.712,182.2163,78
33.762,182.4139,78
33.812,182.6111,78
33.862,182.8042,78
33.912,182.9624,78
33.962,183.1596,78
34.013,183.3524,78
34.063,183.5496,78
34.113,183.7473,78
34.163,183.9411,78
34.214,184.1000,78
34.264,184.3364,78
34.314,184.5301,78
34.364,184.7270,78
34.415,184.9239,78
34.465,185.1168,78
34.515,185.3139,78
34.565,185.5109,78
34.616,185.7164,78
34.666,185.8791,78
34.716,186.0730,78
34.766,186.2706,78
34.817,186.4682,78
34.867,186.6770,78
34.918,186.8699,78
34.968,187.0668,78
35.018,187.2598,78
35.069,187.4568,78
35.119,187.6505,78
35.169,187.8482,78
35.219,188.0419,78
35.269,188.2008,78
35.320,188.4372,78
35.370,188.6305,78
35.420,188.8274,78
35.470,189.0205,78
35.521,189.2174,78
35.571,189.4142,78
35.621,189.5728,78
35.671,189.7705,78
35.721,189.9682,78
35.771,190.1658,78
35.822,190.3597,78
35.872,190.5572,78
35.922,190.7540,78
35.972,190.9510,78
36.022,191.1479,78
36.072,191.3563,78
36.123,191.5109,78
36.173,191.7086,78
36.223,191.9103,78
36.273,192.1233,78
36.324,192.3015,78
36.374,192.4953,78
36.424,192.6923,78
36.476,192.8894,78
36.526,193.0861,78
36.576,193.2830,78
36.626,193.4799,78
36.677,193.6775,78
36.727,193.8867,78
36.777,194.0536,78
36.827,194.2512,78
36.878,194.4450,78
36.928,194.6422,78
36.978,194.8390,78
37.029,195.0359,78
37.079,195.2329,78
37.129,195.4259,78
37.180,195.6272,78
37.230,195.8209,78
37.280,196.0264,78
37.330,196.2201,78
37.380,196.3790,78
37.431,196.5763,78
37.481,196.7772,78
37.531,196.9818,78
37.583,197.1749,78
37.635,197.3832,78
37.686,197.5768,78
37.736,197.7745,78
37.786,197.9722,78
37.836,198.1699,78
37.887,198.3675,78
37.937,198.5688,78
37.988,198.7309,78
38.038,198.9316,78
38.088,199.1285,78
38.139,199.3255,78
38.189,199.5302,78
38.239,199.7279,78
38.289,199.9255,78
38.340,200.1232,78
38.390,200.2860,78
38.440,200.4837,78
38.491,200.6808,78
38.541,200.8853,78
38.592,201.0862,78
38.642,201.2791,78
38.693,201.4723,78
38.743,201.6737,78
38.793,201.8675,78
38.844,202.0729,78
38.894,202.2706,78
38.945,202.4372,78
38.996,202.6343,78
39.046,202.8312,78
39.096,203.0321,78
39.146,203.2290,78
39.196,203.4259,78
39.247,203.6232,78
39.298,203.8208,78
39.348,204.0186,78
39.398,204.2163,78
39.448,204.4139,78
39.499,204.6074,78
39.549,204.8043,78
39.600,205.0013,78
39.651,205.1597,78
39.701,205.3564,78
39.751,205.5573,78
39.802,205.7550,78
39.852,205.9527,78
39.902,206.1505,78
39.953,206.3520,78
40.003,206.5070,78
40.053,206.7426,78
40.103,206.9433,78
40.154,207.1133,78
40.204,207.3100,78
40.254,207.5031,78
40.304,207.7008,78
40.354,207.8984,78
40.404,208.0922,78
40.455,208.2901,78
40.505,208.4876,78
40.555,208.6845,78
40.606,208.8777,78
40.656,209.0745,78
40.706,209.2715,78
40.757,209.4645,78
40.807,209.6581,78
40.857,209.8556,78
40.907,210.0497,78
40.959,210.2513,78
41.009,210.4488,78
41.060,210.6459,78
41.110,210.8390,78
41.160,211.0359,78
41.210,211.1943,78
41.261,211.3911,78
41.311,211.5884,78
41.361,211.7821,78
41.411,211.9800,78
41.461,212.1775,78
41.512,212.3753,78
41.562,212.5726,78
41.612,212.7656,78
41.662,212.9665,78
41.713,213.1633,78
41.763,213.3603,78
41.813,213.5573,78
41.864,213.7240,78
41.914,213.9332,78
41.964,214.1312,78
42.014,214.3287,78
42.064,214.5263,78
42.115,214.7193,78
42.165,214.9162,78
42.215,215.1209,78
42.265,215.2792,78
42.316,215.4723,78
42.366,215.6698,78
42.417,215.8635,78
42.467,216.0613,78
42.517,216.2589,78
42.567,216.4566,78
42.618,216.6498,78
42.668,216.8505,78
42.718,217.0436,78
42.768,217.2405,78
42.818,217.4336,78
42.869,217.6313,78
42.919,217.8248,78
42.969,218.0341,78
43.020,218.2318,78
43.071,218.4256,78
43.121,218.5880,78
43.171,218.7849,78
43.221,218.9818,78
