# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb j2.blash-filt j3.blash-filt
1786042773.541 0.01 0.012 0.007619996 0.0124 0.007619996 -423.8113 0 0 -0.0126 
1786042773.700 0.01 0.012 0.008889995 0.0124 0.008889995 -423.8126 0 0 -0.0126 
1786042773.861 0.01 0.012 0.008889995 0.0124 0.008889995 -423.8126 0 0 -0.0126 
1786042774.020 0.01 0.008 0.005079997 0.0024 0.005079997 -423.8088 0 0 -0.0126 
1786042774.193 0.005 0.004 0.001269999 -0.0026 0.001269999 -423.805 0 0 -0.0126 
1786042774.353 0.005 -3.819861e-14 -0.003809998 -0.0076 -0.003809998 -423.7999 0 0 -0.0126 
1786042774.518 -5.1157e-15 -0.008 -0.007619996 -0.0076 -0.007619996 -423.7961 0 0 -0.0126 
1786042774.681 -5.1157e-15 -0.008 -0.007619996 -0.0126 -0.007619996 -423.7961 0 0 -0.0126 
1786042774.841 -0.005 -0.008 -0.007619996 -0.0076 -0.007619996 -423.7961 0 0 -0.0126 
1786042775.003 -0.005 -0.004 -0.006349997 -0.0076 -0.006349997 -423.7974 0 0 -0.0126 
1786042775.170 -0.01 -0.008 -0.007619996 -0.0076 -0.007619996 -423.7961 0 0 -0.0126 
1786042775.334 -0.01 -0.008 -0.007619996 -0.0126 -0.007619996 -423.7961 0 0 -0.0126 
1786042775.496 -0.005 -0.008 -0.007619996 -0.0126 -0.007619996 -423.7961 0 0 -0.0126 
1786042775.655 -0.01 -0.008 -0.006349997 -0.0126 -0.006349997 -423.7974 0 0 -0.0126 
1786042775.815 -0.01 -0.012 -0.007619996 -0.0126 -0.007619996 -423.7961 0 0 -0.0126 
1786042775.987 -0.01 -0.008 -0.006349997 -0.0076 -0.006349997 -423.7974 0 0 -0.0126 
1786042776.152 -0.01 -0.008 -0.005079997 -0.0026 -0.005079997 -423.7986 0 0 -0.0126 
1786042776.318 -0.01 -0.008 -0.006349997 -0.0076 -0.006349997 -423.7974 0 0 -0.0126 
1786042776.487 -0.005 -0.008 -0.006349997 -0.0076 -0.006349997 -423.7974 0 0 -0.0126 
1786042776.652 -0.005 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042776.813 -0.01 -0.012 -0.007619996 -0.01 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042776.975 -0.01 -0.012 -0.007619996 -0.015 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042777.178 -0.01 -0.008 -0.007619996 -0.01 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042777.350 -0.01 -0.012 -0.008889995 -0.01 -0.008889995 -423.7948 -0.0088 0 -0.0126 
1786042777.525 -0.01 -0.012 -0.007619996 -0.01 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042777.687 -0.01 -0.012 -0.007619996 -0.01 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042777.845 -0.01 -0.012 -0.008889995 -0.015 -0.008889995 -423.7948 -0.0088 0 -0.0126 
1786042778.006 -0.015 -0.016 -0.008889995 -0.01 -0.008889995 -423.7948 -0.0088 0 -0.0126 
1786042778.167 -0.01 -0.012 -0.007619996 -0.01 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042778.326 -0.01 -0.012 -0.007619996 -0.01 -0.007619996 -423.7961 -0.0088 0 -0.0126 
1786042778.490 -0.01 -0.012 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042778.655 -0.01 -0.012 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042778.814 -0.01 -0.012 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042778.974 -0.01 -0.012 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042779.139 -0.01 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042779.298 -0.01 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042779.455 -0.01 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042779.613 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042779.770 -0.01 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042779.929 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042780.086 -0.01 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042780.246 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042780.404 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042780.564 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042780.727 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042780.886 -0.005 -0.004 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042781.045 -0.005 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042781.205 -0.01 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042781.366 -0.01 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042781.527 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042781.686 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042781.845 -0.01 -0.004 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042782.015 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042782.174 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042782.331 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042782.490 -0.005 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042782.648 -0.01 -0.008 -0.006349997 -0.005 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042782.808 -0.005 -0.008 -0.006349997 -0.005 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042782.974 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
